127.0.0.1 - - [17/Oct/2023:16:43:49 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:52 +0530] "GET /springmvc/ HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:57 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:57 +0530] "GET /springmvc/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:57 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:57 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:57 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:43:58 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:14 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/AdhyayanSarthi.css HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:47:23 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
